model,method,layer,suite,rows,firms,global_spearman,within_group_spearman,pair_concordance,conflict_auc_same_outcome,mae
qwen25_7b,mlp_pair_delta,20,train,2682,459,0.8583629414769324,0.8325719287508337,0.838487163607586,0.9734982332155476,0.3634518770945468
qwen25_7b,mlp_pair_delta,20,validation,912,168,0.6113164731995592,0.6095399128252367,0.7496799795186891,1.0,0.5627499617845036
qwen25_7b,mlp_pair_delta,20,test,888,162,0.6040641976336035,0.5829358587645856,0.721961953435548,0.8518518518518519,0.5679801301047445
qwen3_4b,mlp_pair_delta,24,train,2835,406,0.8614439684707784,0.8150832858394029,0.8189558030705107,0.9876923076923076,0.3509107055316708
qwen3_4b,mlp_pair_delta,24,validation,1101,160,0.4221206464531793,0.3289743184633285,0.6237624872453393,0.6666666666666666,0.6112537981513431
qwen3_4b,mlp_pair_delta,24,test,1074,153,0.3623042039719006,0.3028408256646858,0.6127158576441897,0.7,0.5984410676753503
