model,score,primary,rows,event_dates,spearman,date_block_ci_low,date_block_ci_high,within_date_permutation_p_one_sided,retained_tokens_mean,retained_tokens_median,max_length_fraction
qwen25_7b,last_projection,True,383,9,0.0023523044167703313,-0.10789940796364159,0.11481518620431172,0.6224755048990201,1030.869451697128,884.0,0.16971279373368145
qwen25_7b,last_cosine,False,383,9,0.011950552267166079,-0.09894016966713334,0.11649081187018011,0.5780843831233753,1030.869451697128,884.0,0.16971279373368145
qwen25_7b,mean_projection,False,383,9,0.18305618874140503,0.06634845803595565,0.32256404101668906,0.0005998800239952009,1030.869451697128,884.0,0.16971279373368145
qwen25_7b,mean_cosine,False,383,9,0.19723110296228455,0.08143228370276533,0.3353896460537614,0.0003999200159968006,1030.869451697128,884.0,0.16971279373368145
qwen3_4b,last_projection,True,383,9,-0.04722486603420229,-0.13875255719368138,0.03988162539839834,0.8218356328734253,1030.869451697128,884.0,0.16971279373368145
qwen3_4b,last_cosine,False,383,9,-0.043134765491504114,-0.13689719903045736,0.0495185854938254,0.8004399120175965,1030.869451697128,884.0,0.16971279373368145
qwen3_4b,mean_projection,False,383,9,-0.11706585854305362,-0.15529022093087577,-0.07349118864991809,0.99000199960008,1030.869451697128,884.0,0.16971279373368145
qwen3_4b,mean_cosine,False,383,9,-0.11751226880647411,-0.17593934940681005,-0.06846125240658717,0.9894021195760848,1030.869451697128,884.0,0.16971279373368145
