model,outcome,candidate,baseline,rows,candidate_spearman,baseline_spearman,observed_delta_spearman,date_block_ci_low,date_block_ci_high,bootstrap_probability_candidate_not_better,issuer_block_ci_low,issuer_block_ci_high,issuer_bootstrap_probability_candidate_not_better
qwen25_7b,abs_market_adjusted_return_h1,company_prefix_last_projection,prefixless_last_projection,9335,-0.0004003224418247627,-0.0040243307821411336,0.0036240083403163707,-0.01055914589021105,0.017832677609344195,0.308,-0.012153606536451235,0.020221403956790215,0.326
qwen25_7b,abs_market_adjusted_return_h1,prefixless_last_projection,direct_lm_rating,9335,-0.0040243307821411336,0.12792879134624335,-0.13195312212838448,-0.16214226805491422,-0.10143960709215685,1.0,-0.16114006006321058,-0.10357753465840464,1.0
qwen25_7b,abs_market_adjusted_return_h1,company_prefix_last_projection,direct_lm_rating,9335,-0.0004003224418247627,0.12792879134624335,-0.1283291137880681,-0.1611965806715826,-0.09690690654072757,1.0,-0.15546145025263644,-0.1005337618657319,1.0
qwen3_4b,abs_market_adjusted_return_h1,company_prefix_last_projection,prefixless_last_projection,9335,0.10364484485446618,0.11179985105761556,-0.008155006203149379,-0.018583389536945612,0.004105996275333185,0.92,-0.01791727547106189,0.0027382434428449643,0.928
qwen3_4b,abs_market_adjusted_return_h1,prefixless_last_projection,direct_lm_rating,9335,0.11179985105761556,0.21166739782884153,-0.09986754677122597,-0.1331666074072553,-0.06879898717404799,1.0,-0.12529623139765975,-0.07295980027717613,1.0
qwen3_4b,abs_market_adjusted_return_h1,company_prefix_last_projection,direct_lm_rating,9335,0.10364484485446618,0.21166739782884153,-0.10802255297437535,-0.13922633808670767,-0.07798572657270034,1.0,-0.13472999249741044,-0.08103621476417201,1.0
