feature_set,alpha,validation_r2_log
direct_qwen3_ridge,10000.0,0.016700416501757687
direct_both_ridge,0.01,0.03289589257726844
direct_both_ridge,0.1,0.032896211389317864
direct_both_ridge,1.0,0.032899302287102694
direct_both_ridge,10.0,0.03292993242765396
direct_both_ridge,100.0,0.03320555310659046
direct_both_ridge,1000.0,0.03391644833295637
direct_both_ridge,10000.0,0.019906108682283152
price_plus_direct_both,0.01,0.06068082647366435
price_plus_direct_both,0.1,0.060680999682969694
price_plus_direct_both,1.0,0.06068275751059726
price_plus_direct_both,10.0,0.06069988379984248
price_plus_direct_both,100.0,0.06083181056835807
price_plus_direct_both,1000.0,0.0597930947286377
price_plus_direct_both,10000.0,0.03467411668309728
embedding_06b_ridge,0.01,0.10018859164249161
embedding_06b_ridge,0.1,0.10018988756609737
embedding_06b_ridge,1.0,0.10020279670946997
embedding_06b_ridge,10.0,0.10033042854826157
embedding_06b_ridge,100.0,0.101469576012577
embedding_06b_ridge,1000.0,0.10398011692089748
embedding_06b_ridge,10000.0,0.054902962910016395
embedding_8b_ridge,0.01,0.1161034082793303
embedding_8b_ridge,0.1,0.11610499405780861
embedding_8b_ridge,1.0,0.11612078528984426
embedding_8b_ridge,10.0,0.11627702274660834
embedding_8b_ridge,100.0,0.11767587479847208
embedding_8b_ridge,1000.0,0.1210633444262409
embedding_8b_ridge,10000.0,0.06428688983116759
price_plus_embedding_06b,0.01,0.11943235164423893
price_plus_embedding_06b,0.1,0.11943356254475657
price_plus_embedding_06b,1.0,0.11944565084231373
price_plus_embedding_06b,10.0,0.11956497314557357
price_plus_embedding_06b,100.0,0.12061455004872135
price_plus_embedding_06b,1000.0,0.12218919950483997
price_plus_embedding_06b,10000.0,0.06762611153808695
price_plus_embedding_8b,0.01,0.1310178682334906
price_plus_embedding_8b,0.1,0.13101924985805768
price_plus_embedding_8b,1.0,0.1310330710423756
price_plus_embedding_8b,10.0,0.1311696092180612
price_plus_embedding_8b,100.0,0.13238179580479337
price_plus_embedding_8b,1000.0,0.13472437621667266
price_plus_embedding_8b,10000.0,0.07557061799687004
price_embedding_8b_plus_axis_both,0.01,0.12972738387415472
price_embedding_8b_plus_axis_both,0.1,0.12972932706273343
price_embedding_8b_plus_axis_both,1.0,0.12974870221456603
price_embedding_8b_plus_axis_both,10.0,0.12994014068456627
price_embedding_8b_plus_axis_both,100.0,0.13163864330696662
price_embedding_8b_plus_axis_both,1000.0,0.13620663670555633
price_embedding_8b_plus_axis_both,10000.0,0.07937032068492
price_embedding_8b_plus_axis_mean_both,0.01,0.1330227530396081
price_embedding_8b_plus_axis_mean_both,0.1,0.1330242352213571
price_embedding_8b_plus_axis_mean_both,1.0,0.13303900120055356
price_embedding_8b_plus_axis_mean_both,10.0,0.13318493945152876
price_embedding_8b_plus_axis_mean_both,100.0,0.134481114575566
price_embedding_8b_plus_axis_mean_both,1000.0,0.13775595751589043
price_embedding_8b_plus_axis_mean_both,10000.0,0.08221355805686048
