model,score,rows,score_spearman,score_pearson,mean_absolute_score_change_in_prefixless_sd,prefixless_rows_at_2048_tokens,company_prefix_rows_at_2048_tokens,median_total_token_increase
qwen25_7b,last_projection,9376,0.747092316855453,0.7260692228302764,0.37651604859800264,2673,2683,11.0
qwen25_7b,last_cosine,9376,0.7477079428898171,0.740383070437703,0.37432260590406513,2673,2683,11.0
qwen25_7b,mean_projection,9376,0.9906066953524089,0.9929391057202213,0.11963243474026455,2673,2683,11.0
qwen25_7b,mean_cosine,9376,0.9913793117535578,0.9931829118679131,0.1192431803802414,2673,2683,11.0
qwen3_4b,last_projection,9376,0.8787587246680301,0.7712910119104375,0.3456855813655794,2673,2683,11.0
qwen3_4b,last_cosine,9376,0.8999330928617358,0.7994660367086857,0.32956281708123564,2673,2683,11.0
qwen3_4b,mean_projection,9376,0.9794702896233171,0.9819209404716119,0.16379192858086128,2673,2683,11.0
qwen3_4b,mean_cosine,9376,0.9821371984747267,0.9844899137331522,0.1352464062865825,2673,2683,11.0
