horizon,forecast_model,variant,n_fit,n_test,qlike,qlike_improvement_vs_baseline_pct,raw_mse,raw_r2,log_mse,log_r2,spearman,qlike_gain_ci_low,qlike_gain_ci_high,qlike_gain_one_sided_p,test_dates
1,AR(5),baseline,1024,453,0.6964367284666435,0.0,3.546244688989925e-05,0.26919091061118594,1.309018999043489,0.34104367720418816,0.608969584341625,,,,
1,AR(5),embedding,1024,453,0.5616364656890438,19.35570846103877,2.5618305864041937e-05,0.4720586868043444,0.8744768436021998,0.5597909230872442,0.7669795092093283,0.0801005732451,0.2948285613909774,0.0004997501249375312,145.0
1,AR(5),activation,1024,453,0.5178954516607339,25.636395886099653,2.8349579325878786e-05,0.4157726815629702,0.8675685193393089,0.5632685532486721,0.7601574212796786,0.08900446224980077,0.38354237219148074,0.001999000499750125,145.0
1,HAR,baseline,1024,453,0.7394216986570056,0.0,3.777203771972331e-05,0.22159492896770738,1.3339761103733818,0.3284803405974859,0.6028696194796119,,,,
1,HAR,embedding,1024,453,0.5503651432798441,25.568164380426015,2.7519867193504962e-05,0.4328713654128902,0.8713238601878106,0.5613781256856025,0.7675975866579955,0.11975530045733672,0.39417066904475,0.0004997501249375312,145.0
1,HAR,activation,1024,453,0.5152082821335746,30.322807260141886,2.982508084637169e-05,0.38536558850672753,0.8752067285162011,0.5594235011633868,0.7577358434059218,0.12839749033944006,0.47266246541261286,0.0004997501249375312,145.0
1,HAR-X,baseline,1024,453,0.6302054223092332,0.0,2.659888382754252e-05,0.451850964229377,1.3220376493556754,0.33449012684032686,0.6278599313608728,,,,
1,HAR-X,embedding,1024,453,0.5153911643964296,18.218544913830613,3.0470375403470775e-05,0.37206737676388635,0.8682768772135797,0.5629119679734438,0.769143038457378,0.01561312393158821,0.21965068773150953,0.01249375312343828,145.0
1,HAR-X,activation,1024,453,0.4864884210035802,22.804786537544736,2.396525083634257e-05,0.5061247974495935,0.8779051245226409,0.5580651365322014,0.7615034307945601,0.026138546505207562,0.25707902075046174,0.01199400299850075,145.0
1,"MIDAS(k=50,theta=10)",baseline,1024,453,0.7128158924309884,0.0,3.826631918290548e-05,0.2114087907372736,1.3289201503137,0.33102549605479015,0.6068970627379593,,,,
1,"MIDAS(k=50,theta=10)",embedding,1024,453,0.5605479236684443,21.36147220893872,2.7901734419479827e-05,0.425001856561779,0.8772550961905172,0.5583923588870812,0.7689021586496894,0.09692700073259629,0.33330158723741904,0.0004997501249375312,145.0
1,"MIDAS(k=50,theta=10)",activation,1024,453,0.5188215548935872,27.21520936855135,3.0148126585244606e-05,0.3787082711763802,0.8761481378712733,0.558949598456614,0.7605206773240707,0.11859107260092926,0.41677373001721213,0.0004997501249375312,145.0
5,AR(5),baseline,1024,453,0.29323205746732617,0.0,4.797884199336676e-06,0.43122321928378204,0.5616742279423156,0.559705804136349,0.767253435764481,,,,
5,AR(5),embedding,1024,453,0.2630535374705216,10.291685110236363,3.849077427989423e-06,0.543701811618972,0.4412818960217357,0.6540808748340301,0.8267457137981272,-0.03314667343065661,0.07168094975900502,0.1664167916041979,145.0
5,AR(5),activation,1024,453,0.26234310774993025,10.533960708179993,4.1678722195398705e-06,0.5059095124067006,0.44333772330963556,0.6524693199904394,0.8248503021066528,-0.0686036251057539,0.08666838215634015,0.26636681659170414,145.0
5,HAR,baseline,1024,453,0.30113453383177313,0.0,5.089318602330378e-06,0.3966744234734064,0.5752470319708635,0.5490661369804293,0.7634123968160492,,,,
5,HAR,embedding,1024,453,0.25987539099367174,13.701232573063358,4.000893374926295e-06,0.525704423192616,0.4455155082160207,0.6507621630542317,0.8225496804921695,-0.018696829858551818,0.08346096933519731,0.07796101949025487,145.0
5,HAR,activation,1024,453,0.26128778019601123,13.23220991253764,4.298876123283262e-06,0.4903793379513176,0.45186264316876634,0.6457866691806831,0.8204083545275723,-0.05347037068177848,0.09816290503498805,0.1794102948525737,145.0
5,HAR-X,baseline,1024,453,0.28329521518800993,0.0,3.1312115515729634e-06,0.6288029572928566,0.5730199918228082,0.550811904904901,0.7719145762232268,,,,
5,HAR-X,embedding,1024,453,0.257932552370836,8.9527325056803,2.5592311125529175e-06,0.69660976113015,0.4467158850247249,0.6498211924427476,0.8257464369539057,-0.05429077079650869,0.06049461245308475,0.33233383308345826,145.0
5,HAR-X,activation,1024,453,0.26023223928568434,8.140969090148507,3.030607077666704e-06,0.640729357851245,0.45176511364229033,0.6458631221890221,0.8228361286664786,-0.09756826897371376,0.07255828853865366,0.4107946026986507,145.0
5,"MIDAS(k=30,theta=10)",baseline,1024,453,0.30838901466472257,0.0,5.203685908186443e-06,0.38311647473154364,0.5832459716352496,0.5427957999557181,0.761499299951127,,,,
5,"MIDAS(k=30,theta=10)",embedding,1024,453,0.2770973158850671,10.14682666750484,4.196020948152618e-06,0.502572553327149,0.45989257994388544,0.6394920336440137,0.8213386979220051,-0.03476766464421476,0.07452568281169371,0.1714142928535732,145.0
5,"MIDAS(k=30,theta=10)",activation,1024,453,0.27512229528690807,10.787258234208421,4.462841492939426e-06,0.47094166683894045,0.46051418372674663,0.6390047609081374,0.8197809826811808,-0.07105340368719545,0.09127876652093726,0.25537231384307846,145.0
