horizon,forecast_model,variant,n_fit,n_test,qlike,qlike_improvement_vs_baseline_pct,log_mse,log_r2,raw_r2,spearman,qlike_gain_ci_low,qlike_gain_ci_high,qlike_gain_one_sided_p,test_dates
1,AR(5),baseline,37816,12478,0.3705359838051305,0.0,0.5874748749354135,0.36430834984423877,0.20917873086024608,0.5992150000923756,,,,
1,AR(5),bge,37816,12478,0.3616791386096168,2.39027937437018,0.585682792136475,0.36624751715211423,0.21082262608392688,0.60054508494913,0.003722850061496663,0.013037934806701505,0.0004997501249375312,242.0
1,AR(5),activation,37816,12478,0.35366572878837177,4.552932981977531,0.5796969934549635,0.37272459796645296,0.22048341835461494,0.6046575041438959,0.00982438725093076,0.022912311339756505,0.0004997501249375312,242.0
1,HAR,baseline,37817,12478,0.3750391271785492,0.0,0.5765472012241086,0.37613290818754985,0.21691372989576574,0.6054381225761192,,,,
1,HAR,bge,37817,12478,0.3653200576528838,2.5914814805545223,0.5743363519917845,0.3785252120233459,0.21777887266153684,0.6068963846401709,0.004088952860240377,0.014322569853320725,0.0004997501249375312,242.0
1,HAR,activation,37817,12478,0.35663130830547257,4.908239577976889,0.5673685235063599,0.3860649223614071,0.22787199834058847,0.6116040634288625,0.010602376820413964,0.024904236054228306,0.0004997501249375312,242.0
1,HAR-X,baseline,37817,12478,0.36737356306474317,0.0,0.5559589267084825,0.3984109574439322,0.21496098760439242,0.6176558891565215,,,,
1,HAR-X,bge,37817,12478,0.35832491920652243,2.4630634231636517,0.5547230935756228,0.3997482211075588,0.21722241350002636,0.6183674973764558,0.003942294570262044,0.013212675166743706,0.0004997501249375312,242.0
1,HAR-X,activation,37817,12478,0.3497774072461338,4.789717494045246,0.5482200372901783,0.40678501324544303,0.22841476132597394,0.6228035193821483,0.010442521212899947,0.02345004537829049,0.0004997501249375312,242.0
1,"MIDAS(k=50,theta=10)",baseline,36814,12478,0.37839860250868446,0.0,0.5860697734474917,0.3658287744983001,0.20893837455373176,0.5967238802339917,,,,
1,"MIDAS(k=50,theta=10)",bge,36814,12478,0.3681146432016247,2.7177582683656327,0.5841279358877022,0.3679299876316324,0.2105640323719089,0.5982867779647821,0.004536142226449924,0.015266863936593036,0.0004997501249375312,242.0
1,"MIDAS(k=50,theta=10)",activation,36814,12478,0.35899267140446744,5.128436250969409,0.5768108723568564,0.37584759634762943,0.22154450116984858,0.603424769821659,0.011079836793415327,0.026461381572070654,0.0004997501249375312,242.0
5,AR(5),baseline,37815,12478,0.1528380399987011,0.0,0.2817636159124404,0.4983370187355044,0.4394871274877672,0.7077919360590673,,,,
5,AR(5),bge,37815,12478,0.1496932920958986,2.0575688505487433,0.2786647909694329,0.5038542880759469,0.446729213565622,0.712195761892185,0.0016494763649193057,0.004765439622388409,0.0004997501249375312,242.0
5,AR(5),activation,37815,12478,0.14716996343635413,3.70855093561468,0.2747722186447979,0.5107847763536488,0.4535832217532674,0.7177186850310201,0.003053870743097985,0.007926675714694902,0.0004997501249375312,242.0
5,HAR,baseline,37816,12478,0.15098295136694756,0.0,0.26949482055139906,0.5201808626875094,0.47253373533989207,0.715828845798916,,,,
5,HAR,bge,37816,12478,0.1473076220058297,2.434267795034273,0.2658669162447322,0.526640125656332,0.478923426421093,0.720741987296669,0.0018761203042357837,0.005537806746842957,0.0004997501249375312,242.0
5,HAR,activation,37816,12478,0.14441094350796482,4.352814539311919,0.2611009451400446,0.5351256473417898,0.48590713534821794,0.7271808507523722,0.003505169995663803,0.009215884888820101,0.0004997501249375312,242.0
5,HAR-X,baseline,37816,12478,0.14511763258035895,0.0,0.2533869192787378,0.548860001220671,0.49448965338134465,0.7269756896196998,,,,
5,HAR-X,bge,37816,12478,0.14184842994176988,2.252794908832837,0.25058803504605837,0.5538432443687732,0.49953254529973656,0.7312559584815204,0.0016590427462677502,0.004949075369961876,0.0004997501249375312,242.0
5,HAR-X,activation,37816,12478,0.13908684840012836,4.155790080775361,0.24628448427286415,0.5615054547784188,0.5082407763854792,0.7374788829448087,0.003218659677261608,0.008499267706527692,0.0004997501249375312,242.0
5,"MIDAS(k=80,theta=10)",baseline,35737,12478,0.15145819737347496,0.0,0.271200290651738,0.5171443769005746,0.4706148858556747,0.7130727632305577,,,,
5,"MIDAS(k=80,theta=10)",bge,35737,12478,0.1477589247874974,2.4424380126852303,0.2676398499260659,0.5234835250665721,0.4774989056449668,0.7181827401429425,0.0019446696346205699,0.005649752162038563,0.0004997501249375312,242.0
5,"MIDAS(k=80,theta=10)",activation,35737,12478,0.144792449302152,4.401048069313912,0.2626603164778685,0.532349281515784,0.4843644515530945,0.7251914051534941,0.0034464297099220456,0.00945874738678016,0.0004997501249375312,242.0
